,BHK,Rent,Size,Floor,Area Type,City,Furnishing Status,Bathroom
301,3,35000,1012,2,Carpet Area,Kolkata,Semi-Furnished,2
302,3,15000,1200,0,Carpet Area,Kolkata,Unfurnished,2
303,2,20000,700,1,Super Area,Kolkata,Furnished,1
304,2,12000,1000,1,Super Area,Kolkata,Semi-Furnished,1
305,2,8000,800,0,Carpet Area,Kolkata,Unfurnished,1
306,1,3000,500,0,Super Area,Kolkata,Semi-Furnished,1
307,3,20000,1200,0,Carpet Area,Kolkata,Semi-Furnished,2
308,1,9000,450,0,Carpet Area,Kolkata,Unfurnished,1
309,3,13000,950,0,Carpet Area,Kolkata,Unfurnished,2
310,1,7000,350,0,Carpet Area,Kolkata,Unfurnished,1
311,1,9000,450,0,Carpet Area,Kolkata,Unfurnished,1
312,1,9000,550,0,Carpet Area,Kolkata,Semi-Furnished,1
313,2,10000,300,0,Carpet Area,Kolkata,Unfurnished,1
314,3,15000,1250,0,Super Area,Kolkata,Semi-Furnished,2
315,2,7000,700,2,Super Area,Kolkata,Unfurnished,1
316,3,8000,812,0,Super Area,Kolkata,Unfurnished,2
317,2,8000,550,0,Super Area,Kolkata,Unfurnished,1
318,1,5000,500,0,Super Area,Kolkata,Semi-Furnished,1
319,1,14000,320,1,Carpet Area,Kolkata,Furnished,1
320,2,5000,600,0,Super Area,Kolkata,Unfurnished,1
321,2,5000,420,0,Carpet Area,Kolkata,Unfurnished,1
322,3,12000,1100,0,Super Area,Kolkata,Unfurnished,1
323,1,3200,220,3,Super Area,Kolkata,Unfurnished,1
324,2,8500,700,0,Carpet Area,Kolkata,Semi-Furnished,2
325,3,16000,1200,0,Carpet Area,Kolkata,Unfurnished,2
326,2,14000,800,0,Carpet Area,Kolkata,Unfurnished,2
327,1,8000,300,0,Carpet Area,Kolkata,Furnished,1
328,2,7000,650,0,Carpet Area,Kolkata,Unfurnished,1
329,1,8000,600,1,Super Area,Kolkata,Furnished,1
330,1,3000,350,0,Super Area,Kolkata,Unfurnished,1
331,1,3800,500,1,Carpet Area,Kolkata,Unfurnished,1
332,1,6500,400,1,Super Area,Kolkata,Unfurnished,1
333,3,20000,1750,0,Super Area,Kolkata,Semi-Furnished,3
334,3,30000,1600,3,Super Area,Kolkata,Unfurnished,2
335,1,8000,300,0,Carpet Area,Kolkata,Semi-Furnished,1
336,2,14000,1100,1,Super Area,Kolkata,Semi-Furnished,2
337,2,7200,830,0,Super Area,Kolkata,Unfurnished,1
338,2,7000,600,0,Carpet Area,Kolkata,Semi-Furnished,2
339,1,7000,500,1,Super Area,Kolkata,Unfurnished,2
340,2,7500,900,1,Carpet Area,Kolkata,Unfurnished,1
341,2,8500,1250,0,Carpet Area,Kolkata,Unfurnished,2
342,2,12000,700,0,Carpet Area,Kolkata,Unfurnished,1
343,1,8500,850,0,Carpet Area,Kolkata,Unfurnished,2
344,2,9500,550,0,Carpet Area,Kolkata,Unfurnished,1
345,2,7500,550,0,Carpet Area,Kolkata,Furnished,2
346,2,12000,1200,0,Super Area,Kolkata,Unfurnished,1
347,3,20000,1100,0,Carpet Area,Kolkata,Unfurnished,2
348,2,8500,650,0,Super Area,Kolkata,Semi-Furnished,1
349,3,20000,1050,0,Carpet Area,Kolkata,Unfurnished,2
350,2,6000,960,0,Super Area,Kolkata,Semi-Furnished,2
351,2,5500,650,1,Carpet Area,Kolkata,Unfurnished,2
352,1,7000,550,0,Super Area,Kolkata,Semi-Furnished,1
353,2,7000,500,0,Super Area,Kolkata,Semi-Furnished,2
354,1,6500,450,3,Super Area,Kolkata,Unfurnished,1
355,2,10000,850,1,Super Area,Kolkata,Unfurnished,2
356,1,5200,300,0,Carpet Area,Kolkata,Unfurnished,1
357,2,13000,1000,1,Carpet Area,Kolkata,Semi-Furnished,3
358,2,7000,500,1,Carpet Area,Kolkata,Unfurnished,1
359,2,12000,756,0,Carpet Area,Kolkata,Semi-Furnished,1
360,1,15000,1000,2,Super Area,Kolkata,Unfurnished,1
361,1,5000,150,1,Carpet Area,Kolkata,Unfurnished,1
362,1,8000,800,0,Carpet Area,Kolkata,Unfurnished,1
363,2,8000,700,2,Super Area,Kolkata,Unfurnished,2
364,1,5000,420,3,Super Area,Kolkata,Unfurnished,1
365,2,10000,800,0,Super Area,Kolkata,Unfurnished,1
366,2,12000,288,2,Carpet Area,Kolkata,Unfurnished,1
367,2,8000,900,0,Super Area,Kolkata,Unfurnished,2
368,2,21000,850,1,Carpet Area,Kolkata,Unfurnished,2
369,1,5000,350,1,Carpet Area,Kolkata,Unfurnished,1
370,2,9000,600,0,Super Area,Kolkata,Unfurnished,1
371,2,8000,1600,0,Carpet Area,Kolkata,Semi-Furnished,1
372,2,7000,986,2,Carpet Area,Kolkata,Unfurnished,1
373,3,35000,1330,1,Carpet Area,Kolkata,Unfurnished,2
374,3,15000,1300,0,Super Area,Kolkata,Semi-Furnished,2
375,2,6200,800,0,Carpet Area,Kolkata,Unfurnished,1
376,2,9900,800,1,Carpet Area,Kolkata,Unfurnished,1
377,2,7000,850,0,Super Area,Kolkata,Unfurnished,1
378,1,5000,322,1,Carpet Area,Kolkata,Unfurnished,1
379,2,6500,800,0,Carpet Area,Kolkata,Furnished,1
380,4,40000,1500,0,Carpet Area,Kolkata,Unfurnished,2
381,3,40000,3500,1,Super Area,Kolkata,Semi-Furnished,2
382,2,12000,957,1,Carpet Area,Kolkata,Furnished,2
383,1,6500,850,1,Carpet Area,Kolkata,Unfurnished,1
384,2,10000,900,0,Carpet Area,Kolkata,Unfurnished,2
385,2,15000,600,0,Super Area,Kolkata,Semi-Furnished,1
386,1,5000,350,0,Carpet Area,Kolkata,Semi-Furnished,1
387,2,7000,800,0,Super Area,Kolkata,Unfurnished,1
388,2,6000,320,1,Carpet Area,Kolkata,Unfurnished,1
389,3,15000,800,0,Carpet Area,Kolkata,Unfurnished,1
390,2,10000,700,1,Carpet Area,Kolkata,Semi-Furnished,2
391,2,22000,1200,1,Super Area,Kolkata,Semi-Furnished,2
392,2,8500,750,1,Carpet Area,Kolkata,Semi-Furnished,1
393,3,35000,1200,0,Super Area,Kolkata,Semi-Furnished,3
394,2,7000,450,0,Carpet Area,Kolkata,Unfurnished,1
395,3,8500,1430,0,Super Area,Kolkata,Semi-Furnished,1
396,2,6000,450,1,Super Area,Kolkata,Unfurnished,1
397,4,35000,800,0,Super Area,Kolkata,Semi-Furnished,3
398,1,6000,400,1,Super Area,Kolkata,Unfurnished,1
399,2,8000,650,1,Super Area,Kolkata,Unfurnished,1
400,1,5000,450,1,Carpet Area,Kolkata,Unfurnished,1
401,2,6000,600,0,Super Area,Kolkata,Unfurnished,1
402,3,15000,1200,1,Carpet Area,Kolkata,Unfurnished,2
403,2,9000,700,3,Carpet Area,Kolkata,Unfurnished,1
404,1,5000,300,0,Carpet Area,Kolkata,Unfurnished,1
405,3,8000,1200,1,Super Area,Kolkata,Unfurnished,3
406,3,35000,1300,0,Carpet Area,Kolkata,Unfurnished,2
407,1,5500,400,0,Super Area,Kolkata,Unfurnished,1
408,3,35000,1320,0,Carpet Area,Kolkata,Unfurnished,2
409,2,11000,1000,0,Super Area,Kolkata,Furnished,2
410,2,10000,700,1,Carpet Area,Kolkata,Unfurnished,1
411,2,6500,800,0,Carpet Area,Kolkata,Unfurnished,2
412,2,6000,900,0,Super Area,Kolkata,Furnished,1
413,3,36125,1700,0,Super Area,Kolkata,Unfurnished,2
414,2,6800,600,0,Carpet Area,Kolkata,Unfurnished,1
415,2,8500,850,1,Carpet Area,Kolkata,Unfurnished,2
416,2,5000,550,1,Carpet Area,Kolkata,Unfurnished,1
417,1,6500,650,0,Carpet Area,Kolkata,Furnished,1
418,1,6500,800,0,Carpet Area,Kolkata,Unfurnished,1
419,2,4500,475,0,Super Area,Kolkata,Unfurnished,1
420,1,6000,200,0,Carpet Area,Kolkata,Unfurnished,1
421,1,10000,400,0,Carpet Area,Kolkata,Unfurnished,1
422,1,12000,500,0,Super Area,Kolkata,Furnished,1
423,2,12000,550,2,Carpet Area,Kolkata,Unfurnished,1
424,2,12000,800,1,Super Area,Kolkata,Unfurnished,1
425,2,9000,1000,2,Super Area,Kolkata,Furnished,2
426,1,5000,400,0,Carpet Area,Kolkata,Semi-Furnished,1
427,1,6000,300,1,Carpet Area,Kolkata,Unfurnished,1
